#{"t_start": 1672838831.0494676, "env_id": null}
r,l,t
841.0,4507,597.713927
1574.0,5566,610.803921
1408.0,5888,614.558814
1371.0,2321,895.778738
1632.0,7528,904.894471
1477.0,2165,911.816846
2606.0,1716,1187.856244
1089.0,1123,1195.999613
1376.0,818,1205.557878
2200.0,4458,1205.920964
1676.0,1850,1480.980234
2005.0,3192,1484.80014
929.0,687,1493.570299
1973.0,1588,1496.015878
2177.0,1244,1496.31495
1880.0,1743,1497.455219
2088.0,878,1779.630998
2165.0,1071,1780.464194
2010.0,1302,1783.521918
1394.0,692,1788.537656
2275.0,2548,1795.982419
1690.0,1864,2061.12485
1562.0,689,2062.215108
2812.0,2134,2066.846205
1455.0,735,2070.218004
2305.0,1092,2073.063678
2319.0,1168,2080.433424
1400.0,1135,2340.427021
2202.0,1073,2342.680555
1827.0,1110,2353.250595
2795.0,1487,2354.343854
3264.0,1708,2362.399818
1592.0,928,2622.242594
1468.0,1155,2623.613919
1362.0,812,2629.162322
2135.0,652,2630.018523
3216.0,6092,2631.067772
1787.0,785,2632.822188
1379.0,541,2636.807132
2007.0,959,2640.29952
1393.0,639,2904.237038
2198.0,1106,2906.541585
1131.0,580,2910.539532
1459.0,610,2917.038071
2786.0,2779,2920.542903
2075.0,1415,2921.783195
2848.0,3313,3181.040561
1555.0,621,3181.258613
1356.0,574,3184.333341
1753.0,784,3188.52314
1362.0,626,3188.554147
1090.0,528,3194.318513
1886.0,867,3194.397532
2585.0,1184,3194.832635
1601.0,655,3195.607819
1503.0,623,3201.542225
1408.0,692,3201.744273
2373.0,699,3201.910312
1343.0,684,3459.900435
1350.0,529,3464.677566
1318.0,511,3465.529767
2321.0,833,3467.684279
2604.0,855,3467.703283
1081.0,488,3470.735001
1914.0,688,3472.058315
1447.0,571,3473.862741
1473.0,695,3475.12304
1314.0,561,3479.918177
2636.0,853,3479.930179
1907.0,685,3739.462667
1320.0,527,3742.453375
1396.0,638,3746.329294
2572.0,1013,3747.66761
1459.0,767,3750.653318
2156.0,832,3756.540713
2607.0,972,3756.663742
1593.0,2853,3759.505415
2218.0,946,4017.914637
927.0,467,4022.927824
1892.0,650,4023.58498
3125.0,998,4024.436182
3709.0,1127,4025.938537
1354.0,554,4028.838224
1865.0,601,4030.793688
1760.0,704,4031.109762
1875.0,686,4033.314286
1372.0,468,4033.956437
2688.0,983,4298.420093
1986.0,709,4298.540121
2496.0,818,4299.038239
2168.0,1190,4301.623383
1960.0,715,4306.827616
2097.0,866,4309.052143
1374.0,754,4309.707298
1378.0,639,4314.406412
2588.0,812,4318.519386
2609.0,996,4578.273926
1356.0,704,4579.024104
1530.0,575,4582.480067
1507.0,583,4586.07892
1882.0,770,4587.266201
1648.0,666,4589.593752
3193.0,3263,4593.57809
1778.0,653,4594.963419
2143.0,824,4595.56256
1470.0,604,4596.807856
2209.0,851,4859.643125
1708.0,566,4860.649383
2357.0,841,4861.702633
2036.0,813,4861.998703
574.0,368,4866.058665
1621.0,578,4866.660807
1355.0,693,4868.089145
1375.0,638,4868.552256
1382.0,697,4873.539437
1498.0,578,4874.334625
2264.0,772,4874.908761
